,ceremony_year,ceremony,award_category,name,film,status
0,2025,97th,Actor in a Leading Role,Adrien Brody,The Brutalist,Won
1,2025,97th,Actor in a Supporting Role,Kieran Culkin,A Real Pain,Won
2,2025,97th,Actress in a Leading Role,Mikey Madison,Anora,Won
3,2025,97th,Actress in a Supporting Role,Zoe Saldaa,Emilia Prez,Won
4,2025,97th,Animated Feature Film,"Gints Zilbalodis, Mat_ss Ka_a, Ron Dyens and Gregory Zalcman",Flow,Won
5,2025,97th,Animated Short Film,Shirin Sohani and Hossein Molayemi,In the Shadow of the Cypress,Won
6,2025,97th,Cinematography,Lol Crawley,The Brutalist,Won
7,2025,97th,Costume Design,Paul Tazewell,Wicked,Won
8,2025,97th,Directing,Sean Baker,Anora,Won
9,2025,97th,Documentary Feature Film,"Basel Adra, Rachel Szor, Hamdan Ballal and Yuval Abraham",No Other Land,Won
10,2025,97th,Documentary Short Film,Molly OOBrien and Lisa Remington,The Only Girl in the Orchestra,Won
11,2025,97th,Film Editing,Sean Baker,Anora,Won
12,2025,97th,International Feature Film,I'm Still Here,Brazil,Won
13,2025,97th,Makeup and Hairstyling,"Pierre-Olivier Persin, Stphanie Guillon and Marilyne Scarselli",The Substance,Won
14,2025,97th,Music (Original Score),Daniel Blumberg,The Brutalist,Won
15,2025,97th,Music (Original Song),"from Emilia Prez; Music by Clment Ducol and Camille; Lyric by Clment Ducol, Camille and Jacques Audiard",El Mal,Won
16,2025,97th,Best Picture,"Alex Coco, Samantha Quan and Sean Baker, Producers",Anora,Won
17,2025,97th,Production Design,Production Design: Nathan Crowley; Set Decoration: Lee Sandales,Wicked,Won
18,2025,97th,Live Action Short Film,Victoria Warmerdam and Trent,I'm Not a Robot,Won
19,2025,97th,Sound,"Gareth John, Richard King, Ron Bartlett and Doug Hemphill",Dune: Part Two,Won
20,2025,97th,Visual Effects,"Paul Lambert, Stephen James, Rhys Salcombe and Gerd Nefzer",Dune: Part Two,Won
21,2025,97th,Writing (Adapted Screenplay),Screenplay by Peter Straughan,Conclave,Won
22,2025,97th,Writing (Original Screenplay),Written by Sean Baker,Anora,Won
23,2025,97th,Actor in a Leading Role,Timothe Chalamet,A Complete Unknown,Nominated
24,2025,97th,Actor in a Supporting Role,Yura Borisov,Anora,Nominated
25,2025,97th,Actress in a Leading Role,Cynthia Erivo,Wicked,Nominated
26,2025,97th,Actress in a Supporting Role,Monica Barbaro,A Complete Unknown,Nominated
27,2025,97th,Animated Feature Film,Kelsey Mann and Mark Nielsen,Inside Out 2,Nominated
28,2025,97th,Animated Short Film,Nicolas Keppens and Brecht Van Elslande,Beautiful Men,Nominated
29,2025,97th,Cinematography,Greig Fraser,Dune: Part Two,Nominated
30,2025,97th,Costume Design,Arianne Phillips,A Complete Unknown,Nominated
31,2025,97th,Directing,Brady Corbet,The Brutalist,Nominated
32,2025,97th,Documentary Feature Film,"Shiori Ito, Eric Nyari and Hanna Aqvilin",Black Box Diaries,Nominated
33,2025,97th,Documentary Short Film,Kim A. Snyder and Janique L. Robillard,Death by Numbers,Nominated
34,2025,97th,Film Editing,David Jancso,The Brutalist,Nominated
35,2025,97th,International Feature Film,The Girl with the Needle,Denmark,Nominated
36,2025,97th,Makeup and Hairstyling,"Mike Marino, David Presto and Crystal Jurado",A Different Man,Nominated
37,2025,97th,Music (Original Score),Volker Bertelmann,Conclave,Nominated
38,2025,97th,Music (Original Song),from The Six Triple Eight; Music and Lyric by Diane Warren,The Journey,Nominated
39,2025,97th,Best Picture,"Nick Gordon, Brian Young, Andrew Morrison, D.J. Gugenheim and Brady Corbet, Producers",The Brutalist,Nominated
40,2025,97th,Production Design,Production Design: Judy Becker; Set Decoration: Patricia Cuccia,The Brutalist,Nominated
41,2025,97th,Live Action Short Film,Sam Cutler-Kreutz and David Cutler-Kreutz,A Lien,Nominated
42,2025,97th,Sound,"Tod A. Maitland, Donald Sylvester, Ted Caplan, Paul Massey and David Giammarco",A Complete Unknown,Nominated
43,2025,97th,Visual Effects,"Eric Barba, Nelson Sepulveda-Fauser, Daniel Macarin and Shane Mahan",Alien: Romulus,Nominated
44,2025,97th,Writing (Adapted Screenplay),Screenplay by James Mangold and Jay Cocks,A Complete Unknown,Nominated
45,2025,97th,Writing (Original Screenplay),"Written by Brady Corbet, Mona Fastvold",The Brutalist,Nominated
46,2025,97th,Actor in a Leading Role,Colman Domingo,Sing Sing,Nominated
47,2025,97th,Actor in a Supporting Role,Edward Norton,A Complete Unknown,Nominated
48,2025,97th,Actress in a Leading Role,Karla Sofa Gascn,Emilia Prez,Nominated
49,2025,97th,Actress in a Supporting Role,Ariana Grande,Wicked,Nominated
50,2025,97th,Animated Feature Film,Adam Elliot and Liz Kearney,Memoir of a Snail,Nominated
51,2025,97th,Animated Short Film,Daisuke Nishio and Takashi Washio,Magic Candies,Nominated
52,2025,97th,Cinematography,Paul Guilhaume,Emilia Prez,Nominated
53,2025,97th,Costume Design,Lisy Christl,Conclave,Nominated
54,2025,97th,Directing,James Mangold,A Complete Unknown,Nominated
55,2025,97th,Documentary Feature Film,"Brendan Bellomo, Slava Leontyev, Aniela Sidorska and Paula DuPre' Pesmen",Porcelain War,Nominated
56,2025,97th,Documentary Short Film,Smriti Mundhra and Maya Gnyp,"I Am Ready, Warden",Nominated
57,2025,97th,Film Editing,Nick Emerson,Conclave,Nominated
58,2025,97th,International Feature Film,Emilia Prez,France,Nominated
59,2025,97th,Makeup and Hairstyling,"Julia Floch Carbonel, Emmanuel Janvier and Jean-Christophe Spadaccini",Emilia Prez,Nominated
60,2025,97th,Music (Original Score),Clment Ducol and Camille,Emilia Prez,Nominated
61,2025,97th,Music (Original Song),from Sing Sing; Music and Lyric by Abraham Alexander and Adrian Quesada,Like A Bird,Nominated
62,2025,97th,Best Picture,"Fred Berger, James Mangold and Alex Heineman, Producers",A Complete Unknown,Nominated
63,2025,97th,Production Design,Production Design: Suzie Davies; Set Decoration: Cynthia Sleiter,Conclave,Nominated
