film,Oscar_Winner,num_nominations,Title,IMDb Rating,Runtime (mins),Year,Num Votes,IMDb Popularity,Num Directors,Comedy,Romance,Drama,War,Adventure,award_Acting,award_Animation,award_Cinematography,award_Costume Design,award_Directing,award_Documentary,award_Editing,award_International Feature,award_Makeup and Hairstyling,award_Music,award_Other,award_Picture,award_Production Design,award_Short Film,award_Sound,award_Visual Effects,award_Writing
'Round Midnight,1,2,'Round Midnight,7.4,133.0,1986,6086,45036.4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,0,2,10,6.1,122.0,1979,19854,121109.4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
102 Dalmatians,0,1,102 Dalmatians,4.9,100.0,2000,40686,199361.40000000002,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,1,12,7.5,159.0,2007,15671,117532.5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12 Angry Men,0,3,12 Angry Men,9.0,96.0,1957,920267,8282403.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
12 Monkeys,0,2,12 Monkeys,8.0,129.0,1995,662683,5301464.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12 Years a Slave,1,9,12 Years a Slave,8.1,134.0,2013,762589,6176970.899999999,1,0,0,1,0,0,3,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1
127 Hours,0,6,127 Hours,7.5,94.0,2010,413014,3097605.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1
13 Hours: The Secret Soldiers of Benghazi,0,1,13 Hours: The Secret Soldiers of Benghazi,7.3,144.0,2016,170827,1247037.0999999999,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13th,0,1,13th,8.2,100.0,2016,38465,315413.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140 Days under the World,0,1,140 Days Under the World,5.9,33.0,1964,41,241.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1776,0,1,1776,7.6,141.0,1972,10747,81677.2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
