film,ceremony,actor_in_a_leading_role,actor_in_a_supporting_role,actress_in_a_leading_role,actress_in_a_supporting_role,animated_feature_film,animated_short_film,best_picture,cinematography,costume_design,directing,documentary_feature_film,documentary_short_film,film_editing,international_feature_film,live_action_short_film,makeup_and_hairstyling,music_original_score,music_original_song,production_design,sound,visual_effects,writing_adapted_screenplay,writing_original_screenplay,total_oscars_won,won,title_type,imdb_rating,runtime_mins,year,num_votes,directors,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,history,horror,music,musical,mystery,news,romance,sci-fi,short,sport,talk-show,thriller,war,western,num_nominations,imdb_popularity,num_directors,nominated_acting,nominated_animation,nominated_cinematography,nominated_costume_design,nominated_directing,nominated_documentary,nominated_editing,nominated_international_feature,nominated_makeup_and_hairstyling,nominated_music,nominated_other,nominated_picture,nominated_production_design,nominated_short_film,nominated_sound,nominated_visual_effects,nominated_writing
Round Midnight,59th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Movie,7.4,133.0,1986,6086,Bertrand Tavernier,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,45036.4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,52nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,6.1,122.0,1979,19854,Blake Edwards,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,121109.4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
102 Dalmatians,73rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,4.9,100.0,2000,40686,Kevin Lima,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,199361.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,80th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,7.5,159.0,2007,15671,Nikita Mikhalkov,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,117532.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12 Angry Men,30th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,9.0,96.0,1957,920267,Sidney Lumet,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8282403.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
12 Monkeys,68th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,8.0,129.0,1995,662683,Terry Gilliam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,5301464.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12 Years A Slave,86th,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1,Movie,8.1,134.0,2013,762589,Steve McQueen,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6176970.899999999,1,3,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1
127 Hours,83rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,7.5,94.0,2010,413014,Danny Boyle,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3097605.0,1,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1
13 Hours: The Secret Soldiers Of Benghazi,89th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,7.3,144.0,2016,170827,Michael Bay,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1247037.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13Th,89th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,8.2,100.0,2016,38465,Ava DuVernay,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,315413.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140 Days Under The World,37th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Short,5.9,33.0,1964,41,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,241.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1776,45th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,7.6,141.0,1972,10747,Peter H. Hunt,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,81677.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1848,22nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Short,4.0,20.0,1950,22,"Marguerite de la Mure, Victoria Mercanton, Albert Soboul",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,88.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1917,92nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1,Movie,8.2,119.0,2019,723376,Sam Mendes,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,5931683.199999999,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,2,1,1
1941,52nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,5.8,118.0,1979,37502,Steven Spielberg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,217511.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
